200,0.023
210,0.028
220,0.025
230,0.031
240,0.031
250,0.034
260,0.036
270,0.036
280,0.042
290,0.05
300,0.055
310,0.056
320,0.057
330,0.056
340,0.056
350,0.054
360,0.051
370,0.051
380,0.057
390,0.069
400,0.083
410,0.092
420,0.106
430,0.121
440,0.135
450,0.149
460,0.163
470,0.177
480,0.191
490,0.205
500,0.219
510,0.232
520,0.246
530,0.26
540,0.273
550,0.286
560,0.299
570,0.312
580,0.325
590,0.337
600,0.348
610,0.36
620,0.371
630,0.382
640,0.393
650,0.403
660,0.412
670,0.42
680,0.427
690,0.433
700,0.437
710,0.441
720,0.443
730,0.444
740,0.443
750,0.442
760,0.437
770,0.432
780,0.425
790,0.415
800,0.405
810,0.393
820,0.38
830,0.366
840,0.35
850,0.333
860,0.315
870,0.296
880,0.277
890,0.257
900,0.238
910,0.218
920,0.199
930,0.179
940,0.161
950,0.142
960,0.125
970,0.109
980,0.094
990,0.08
1000,0.067
1010,0.055
1020,0.045
1030,0.035
1040,0.027
1050,0.02
1060,0.015
1070,0.011
1080,0.009
1090,0.007
1100,0.005
